epoch,phase,loss,accuracy,length,message,message_nn,message_entropy,message_entropy_nn,symbol_entropy,symbol_entropy_nn,lexicon_size,actual_vocab_size,max_rep,topsim,posdis,bosdis
17,train,1.6196022033691406,20.765625,1.0,0.09088134765625,0.0999755859375,0.81298828125,0.81298828125,0.8134765625,0.8134765625,1,1,0.0,,,
18,train,1.619181752204895,22.015625,1.0,0.09088134765625,0.0999755859375,0.81298828125,0.81298828125,0.8134765625,0.8134765625,1,1,0.0,,,
19,train,1.619565486907959,20.765625,1.0,0.09088134765625,0.0999755859375,0.8125,0.8125,0.8134765625,0.8134765625,2,2,0.00020837783813476562,,,
20,train,1.6194267272949219,20.953125,1.0,0.09088134765625,0.0999755859375,0.81298828125,0.81298828125,0.8134765625,0.8134765625,1,1,0.0,,,
21,train,1.619077205657959,20.640625,1.0,0.09088134765625,0.0999755859375,0.81298828125,0.81298828125,0.8134765625,0.8134765625,2,2,0.00020837783813476562,,,
22,train,1.6188077926635742,22.203125,1.0,0.09088134765625,0.0999755859375,0.8125,0.8125,0.8134765625,0.8134765625,1,1,0.0,,,
23,train,1.6195855140686035,21.171875,1.0,0.09088134765625,0.0999755859375,0.81298828125,0.81298828125,0.8134765625,0.8134765625,2,2,0.00020837783813476562,,,
24,train,1.618863582611084,21.046875,1.0,0.09088134765625,0.0999755859375,0.81298828125,0.81298828125,0.8134765625,0.8134765625,2,2,0.00020837783813476562,,,
25,train,1.619022011756897,21.109375,1.0,0.09088134765625,0.0999755859375,0.8125,0.8125,0.8134765625,0.8134765625,1,1,0.0,,,
26,train,1.6185311079025269,21.5,1.0,0.09088134765625,0.0999755859375,0.8125,0.8125,0.8134765625,0.8134765625,2,2,0.00020837783813476562,,,
27,train,1.6181644201278687,21.984375,1.0,0.09088134765625,0.0999755859375,0.81298828125,0.81298828125,0.81298828125,0.81298828125,1,1,0.0,,,
28,train,1.618356704711914,21.640625,1.0,0.09088134765625,0.0999755859375,0.81201171875,0.81201171875,0.81298828125,0.81298828125,1,1,0.0,,,
29,train,1.6183878183364868,21.234375,1.0,0.09088134765625,0.0999755859375,0.81201171875,0.81201171875,0.81298828125,0.81298828125,1,1,0.0,,,
30,train,1.617525577545166,21.8125,1.0,0.09088134765625,0.0999755859375,0.81201171875,0.81201171875,0.81298828125,0.81298828125,1,1,0.0,,,
31,train,1.6169172525405884,21.8125,1.0,0.09088134765625,0.0999755859375,0.81201171875,0.81201171875,0.81298828125,0.81298828125,2,2,0.00020837783813476562,,,
32,train,1.6165951490402222,21.890625,1.0,0.09088134765625,0.0999755859375,0.81298828125,0.81298828125,0.81298828125,0.81298828125,2,2,0.00020837783813476562,,,
33,train,1.616109013557434,22.375,1.0,0.09088134765625,0.0999755859375,0.8125,0.8125,0.81298828125,0.81298828125,2,2,0.00020837783813476562,,,
34,train,1.6152997016906738,22.453125,1.0,0.09088134765625,0.0999755859375,0.8125,0.8125,0.81298828125,0.81298828125,1,1,0.0,,,
35,train,1.6144331693649292,23.359375,1.0,0.09088134765625,0.0999755859375,0.8125,0.8125,0.81298828125,0.81298828125,2,2,0.00020837783813476562,,,
36,train,1.614132046699524,22.859375,1.0,0.09088134765625,0.0999755859375,0.8125,0.8125,0.81298828125,0.81298828125,1,1,0.0,,,
37,train,1.6121975183486938,22.875,1.0,0.09088134765625,0.0999755859375,0.81298828125,0.81298828125,0.81298828125,0.81298828125,2,2,0.00020837783813476562,,,
38,train,1.6112812757492065,24.3125,1.0,0.09088134765625,0.0999755859375,0.8125,0.8125,0.8134765625,0.8134765625,2,2,0.00020837783813476562,,,
39,train,1.6090410947799683,24.953125,1.0,0.09088134765625,0.0999755859375,0.8125,0.8125,0.81298828125,0.81298828125,2,2,0.00020837783813476562,,,
