epoch,phase,loss,accuracy,length,lexicon_size,actual_vocab_size,alignment,max_rep,redund_msg,redund_smb,redund_smb_adj,redund_smb_adj2,redund_smb_adj3,top_sim,pos_dis,bos_dis
7,val,1.614715814590454,17.34375,1.0,1,1,0.38123140516082005,0.0,1.0,1.0,1.0,1.0,,-0.0547495252281364,,
8,val,1.6093108654022217,23.59375,1.0,1,1,0.42630333657035663,0.0,1.0,1.0,1.0,1.0,,-0.0547495252281364,,
9,val,1.6110254526138306,18.046875,1.0,1,1,0.4805099700805536,0.0,1.0,1.0,1.0,1.0,,-0.0547495252281364,,
10,val,1.6118192672729492,19.25,1.0,1,1,0.4621099224571191,0.0,1.0,1.0,1.0,1.0,,-0.0547495252281364,,
11,val,1.6099891662597656,20.765625,1.0,1,1,0.48610361804090946,0.0,1.0,1.0,1.0,1.0,,-0.0547495252281364,,
12,val,1.610531210899353,19.953125,1.0,1,1,0.47502904844543736,0.0,1.0,1.0,1.0,1.0,,-0.0547495252281364,,
13,val,1.6102722883224487,20.265625,1.0,1,1,0.38268182968456477,0.0,1.0,1.0,1.0,1.0,,-0.0547495252281364,,
14,val,1.610589861869812,20.96875,1.0,1,1,0.3868005110807271,0.0,1.0,1.0,1.0,1.0,,-0.0547495252281364,,
15,val,1.6106361150741577,20.859375,1.0,1,1,0.4691158538338322,0.0,1.0,1.0,1.0,1.0,,-0.0547495252281364,,
16,val,1.6104384660720825,20.859375,1.0,1,1,0.5543738639624513,0.0,1.0,1.0,1.0,1.0,,-0.0547495252281364,,
17,val,1.6101256608963013,21.78125,1.0,1,1,0.5845366839052684,0.0,1.0,1.0,1.0,1.0,,-0.0547495252281364,,
18,val,1.6102930307388306,20.96875,1.0,1,1,0.6072636445801441,0.0,1.0,1.0,1.0,1.0,,-0.0547495252281364,,
19,val,1.6105735301971436,20.765625,1.0,1,1,0.5706253163599335,0.0,1.0,1.0,1.0,1.0,,-0.0547495252281364,,
20,val,1.6103606224060059,22.171875,1.0,1,1,0.512467476668935,0.0,1.0,1.0,1.0,1.0,,-0.0547495252281364,,
21,val,1.6102498769760132,21.375,1.0,1,1,0.5819717308616885,0.0,1.0,1.0,1.0,1.0,,-0.0547495252281364,,
